Pathway,First Reaction,Second Reaction,Second Reaction Author
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856945"",""R-HSA-8856945"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856951"",""R-HSA-8856951"")","Jupe, S"
Cell Cycle,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856951"",""R-HSA-8856951"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8856945"",""R-HSA-8856945"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5159245"",""R-HSA-5159245"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638332"",""R-HSA-5638332"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5634750"",""R-HSA-5634750"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638333"",""R-HSA-5638333"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4827383"",""R-HSA-4827383"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5649801"",""R-HSA-5649801"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5218952"",""R-HSA-5218952"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205799"",""R-HSA-5205799"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5225649"",""R-HSA-5225649"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3318486"",""R-HSA-3318486"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3214912"",""R-HSA-3214912"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3301237"",""R-HSA-3301237"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215391"",""R-HSA-3215391"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215406"",""R-HSA-3215406"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215426"",""R-HSA-3215426"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5216234"",""R-HSA-5216234"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215448"",""R-HSA-3215448"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205799"",""R-HSA-5205799"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215448"",""R-HSA-3215448"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5205861"",""R-HSA-5205861"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4722133"",""R-HSA-4722133"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5159245"",""R-HSA-5159245"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4722133"",""R-HSA-4722133"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638332"",""R-HSA-5638332"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4722133"",""R-HSA-4722133"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5634750"",""R-HSA-5634750"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4722133"",""R-HSA-4722133"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5638333"",""R-HSA-5638333"")","Jupe, S"
Chromatin organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4722133"",""R-HSA-4722133"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4827383"",""R-HSA-4827383"")","Jupe, S"
